district_id,province_id,name
4603,46,Kamalasai
4604,46,Rong Kham
4605,46,Kuchinarai
4606,46,Khao Wong
4607,46,Yang Talat
4608,46,Huai Mek
4609,46,Sahatsakhan
4610,46,Kham Muang
4611,46,Tha Khantho
4612,46,Nong Kung Si
4613,46,Somdet
4614,46,Huai Phueng
4615,46,Sam Chai
4616,46,Na Khu
4617,46,Don Chan
4618,46,Khong Chai
4701,47,Mueang Sakon Nakhon
4702,47,Kusuman
4703,47,Kut Bak
4704,47,Phanna Nikhom
4705,47,Phanh khon
4706,47,Waritchaphum
4707,47,Nikhom Nam un
4708,47,Wanon Niwat
4709,47,Kham Ta Kla
4710,47,Ban Muang
4711,47,Akat Amnuai
4712,47,Sawang Daen Din
4713,47,Song Dao
4714,47,Tao Ngoi
4715,47,Khok Si Suphan
4716,47,Charoen Sin
4717,47,Phon Na Kaeo
4718,47,Phu Phan
4801,48,Mueang Nakhon Phanom
4802,48,Pla Pak
4803,48,Tha Uthen
4804,48,Ban Phaeng
4805,48,That Phanom
4806,48,Renu Nakhon
4807,48,Na Kae
4808,48,Si Songkhram
4809,48,Na Wa
4810,48,Phon Sawan
4811,48,Na Thom
4812,48,Wang Yang
4901,49,Mueang Mukdahan
4902,49,Nikhom Kham Soi
4903,49,Don Tan
4904,49,Don Tan
4905,49,Khamcha-i
4906,49,Wan Yai
4907,49,Nong Sung
5001,50,Mueang Chiang Mai
5002,50,Chom Thong
5003,50,Mae Chaem
5004,50,Chiang Dao
5005,50,Doi Saket
5006,50,Mae Taeng
5007,50,Mae Rim
5008,50,Samoeng
5009,50,Fang
5010,50,Mae Ai
5011,50,Phrao
5012,50,San Pa Tong
5013,50,San Kamphaeng
5014,50,San Sai
5015,50,Hang Dong
5016,50,Hot
5017,50,Doi Tao
5018,50,Omkoi
5019,50,Saraphi
5020,50,Wiang Haeng
5021,50,Chai Prakan
5022,50,Mae Wang
5023,50,Mae On
5024,50,Doi Lo
5025,50,Kanlayaniwatthana
5101,51,Mueang Lamphun
5102,51,Mae Tha
5103,51,Ban Hong
5104,51,Li
5105,51,Thung Hua Chang
5106,51,Pa Sang
5107,51,Ban Thi
5108,51,Wiang Nong Long
5201,52,Mueang Lampang
5202,52,Mae Mo
5203,52,Ko kha
5204,52,Soem Ngam
5205,52,Ngao
5206,52,Chae Hom
5207,52,Wang Nuea
5208,52,Thoen
5209,52,Mae Phrik
5210,52,Mae Tha
5211,52,Sop Prap
5212,52,Hang Chat
5213,52,Mueang Pan
5301,53,Mueang Uttaradit
5302,53,Tron
5303,53,Tha Pla
5304,53,Nam Pat
5305,53,Fak Tha
5306,53,Ban Khok
5307,53,Phichai
5308,53,Laplae
5309,53,Thong Saen Khan
5401,54,Mueang Phrae
5402,54,Mueang Phrae
5403,54,Long
5404,54,Sung Men
5405,54,Den Chai
5406,54,Song
5407,54,Wang Chin
5408,54,Nong Muang Khai
5501,55,Mueang Nan
5502,55,Mae Charim
5503,55,Ban Luang
5504,55,Na Noi
5505,55,Pua
5506,55,Tha Wang Pha
5507,55,Wiang Sa
5508,55,Thung Chang
5509,55,Chiang Klang
5510,55,Na Muen
5511,55,Santi Suk
5512,55,Bo Kluea
5513,55,Song Khwae
5514,55,Phu Phiang
5515,55,Chaloem Phra Kiet
5601,56,Mueang Phayao
5602,56,Chun
5603,56,Chiang Kham
5604,56,Chiang Muan
5605,56,Dok Khamtai
5606,56,Pong
5607,56,"Mae Chai "
5608,56,Phu Sang
5609,56,Phu Kamyao
5701,57,Mueang Chiang Rai
5702,57,Wiang Chai
5703,57,Chiang Khong
5704,57,Thoeng
5705,57,Phan
5706,57,Pa Daet
5707,57,Mae Chan
5708,57,Chiang Saen
5709,57,Mae Sai
5710,57,Mae Suai
5711,57,Wiang Pa Pao
5712,57,Phaya Mengrai
5713,57,Wiang Kaen
5714,57,Khun Tan
5715,57,Mae Fa Luang
